Neighborhood Tabulation Area (NTA) (2020),Total Savings,Job created
BK0101,10367.961794871795,5.333333333333333
BK0104,21158.253076923076,10.38888888888889
BK0202,74011.2558974359,
BK0261,12876.958499999999,
BK0301,57934.14166666666,4.0
BK0502,13810.223333333333,
BK0503,62669.078888888886,59.285714285714285
BK0601,25358.179523809526,10.777777777777779
BK0702,17596.18857142857,7.666666666666667
BK0802,3620.966590909091,
BK1602,-3744.1044444444437,13.75
BX0101,17226.212931034483,9.636363636363637
BX0201,21078.529495798317,7.823529411764706
BX1001,10510.395882352941,5.0
MN0101,431063.85866666667,
MN0102,47655.74800000001,2.0
MN0902,2398.261224489796,5.0
MN1102,8909.400625,4.0
QN0101,14292.983783783784,14.285714285714286
QN0103,14084.895625,2.0
QN0104,25843.476363636364,7.666666666666667
QN0105,59201.95804597701,11.666666666666666
QN0161,2489.384,
QN0201,27410.526875000003,11.142857142857142
QN0202,13586.924022988505,13.88888888888889
QN0203,6549.47090909091,10.0
QN0501,13278.137101449274,11.470588235294118
QN0502,11908.803529411765,3.0
QN0701,33604.16977272727,10.0
QN0904,1739.5158333333336,
QN1306,21160.5052,
